03.19.2019 LIVE w/ Garett ,Garett Sakahara,63,2
11.28.2017 LIVE w/ Garett ,Garett Sakahara,65,2
11.14.2017 LIVE w/ Garett ,Garett Sakahara,69,2
10.17.2017 LIVE w/ Haydn ,Haydn Walden,53,2
10.03.2017 LIVE w/ Haydn ,Haydn Walden,55,2
05.09.2017 LIVE w/ Haydn ,Haydn Walden,59,2
02.12.2019 LIVE w/ Haydn ,Haydn Walden,61,2
09.10.2019 LIVE w/ Haydn ,Haydn Walden,62,2
06.11.2019 LIVE w/ Haydn ,Haydn Walden,62,2
07.30.2019 LIVE w/ Haydn ,Haydn Walden,63,2
06.19.2018 LIVE w/ Haydn ,Haydn Walden,63,2
08.04.2020 LIVE w Jim Mabes ,Jim Mabes,52,2
11.07.2017 LIVE w/ Jim ,Jim Mabes,63,2
04.09.2019 LIVE w/ Jim ,Jim Mabes,66,2
Hot Chili ,Jim Mabes,66,2
09.24.2019 LIVE w/ Jim ,Jim Mabes,69,2
03.08.2022 LIVE w Josh ,Josh ,21,2
03.22.2022 LIVE w Josh ,Josh ,27,2
03.01.2022 LIVE w Josh ,Josh ,62,2
02.11.2020 LIVE w/ King ,King Warren,34,2
10.22.2019 LIVE w/ King ,King Warren,45,2
02.04.2020 LIVE w/ King ,King Warren,46,2
12.17.2019 LIVE w/ Paal ,Paal ,29,2
07.23.2019 LIVE w/ Pat ,Pat McDermott,36,2
07.09.2019 LIVE w/ Pat ,Pat McDermott,38,2
09.27.22 LIVE w Payge ,Payge McMahon,28,2
Roadtrip Edition: Stretching ,Payge McMahon,30,2
08.30.2022 LIVE w Scott French ,Scott French ,37,2
05.29.2018 LIVE w/ Yoga Doc ,Yoga Doc,30,2
11.21.2017 LIVE w/ Bobby ,Bobby ,61,3
12.26.2017 LIVE w/ Christina ,Christina Russell,38,3
12.25.2018 LIVE w/ Christina ,Christina Russell,39,3
DDPY 4 Mamas (Prenatal) ,Christina Russell,43,3
03.06.2018 LIVE w/ Christina ,Christina Russell,56,3
01.14.2020 LIVE w/ Christina ,Christina Russell,58,3
"Lunge, Kick n' Burn ",Christina Russell,61,3
"Rock n Roll, Butt Blaster ",Christina Russell,62,3
10.30.2018 LIVE w/ Christina ,Christina Russell,64,3
03.11.2016 LIVE w/ Christina ,Christina Russell,64,3
11.19.2019 LIVE w/ Christina ,Christina Russell,67,3
02.12.2016 LIVE w/ Christina ,Christina Russell,68,3
08.14.2018 LIVE w/ Dave Orth ,Dave Orth,37,3
07.03.2018 LIVE w/ Dave Orth ,Dave Orth,67,3
07.31.2018 LIVE w/ Dave Orth ,Dave Orth,70,3
10 Minute Warm Up ,DDP,12,3
Red Hot Core 2.0 ,DDP,13,3
Red Hot Core (No Music) ,DDP,13,3
Red Hot Core Classic ,DDP,15,3
Red Hot Core+ ,DDP,17,3
Super Body Flow ,DDP,27,3
Sidewinder - Warriors Purpose ,DDP,30,3
DDP ON THE MOON ,DDP,31,3
Below The Belt Classic ,DDP,31,3
Stand Up Classic ,DDP,31,3
"Hips, Back, and Knees Tutorial ",DDP,31,3
11.30.21 LIVE w DDP ,DDP,33,3
03.30.2021 LIVE w DDP ,DDP,33,3
DDPY 4 KIDZ - Fun And Energy! ,DDP,33,3
12.21.21 LIVE on the Holidays with DDP and Payge ,DDP,33,3
08.09.2022 LIVE w DDP ,DDP,34,3
Stand Up 2.0 ,DDP,34,3
06.28.2022 LIVE w DDP ,DDP,35,3
05.24.2022 LIVE w DDP ,DDP,35,3
Mix Tape Classic ,DDP,35,3
10.19.2021 Live w DDP and Payge ,DDP,36,3
JACKED Total Body 11 ,DDP,36,3
JACKED Total Body 06 ,DDP,36,3
Halloween 2016 ,DDP,36,3
04.19.2022 LIVE w DDP ,DDP,37,3
"JACKED Back, Chest, and Biceps 01 ",DDP,37,3
"JACKED Back, Biceps, Shoulders, & Traps 01 ",DDP,37,3
01.05.2021 LIVE w/ DDP ,DDP,38,3
03.24.2020 LIVE w/ DDP ,DDP,38,3
11.02.2021 LIVE w DDP ,DDP,39,3
JACKED Back 01 ,DDP,39,3
Back Tutorial ,DDP,39,3
JACKED Chest & Triceps 01 ,DDP,39,3
Below The Belt 2.0 ,DDP,39,3
JACKED Total Body 12 ,DDP,39,3
JACKED Total Body 09 ,DDP,40,3
Stand Up V2 Crib ,DDP,40,3
09.07.2021 LIVE w DDP ,DDP,41,3
03.09.21 LIVE w DDP ,DDP,41,3
JACKED Shoulders & Traps 02 ,DDP,41,3
10.26.2021 LIVE w Yoga Doc ,DDP,42,3
Strength Builder 2.0 ,DDP,43,3
06.21.2022 LIVE w DDP ,DDP,45,3
1.18.2022 LIVE w DDP ,DDP,46,3
04.26.2022 LIVE w DDP ,DDP,47,3
03.17.2020 LIVE w/ DDP ,DDP,47,3
Stinger - Warriors Purpose ,DDP,47,3
Fire Power - Warriors Purpose ,DDP,51,3
12.05.2017 LIVE w/ DDP ,DDP,52,3
11.16.2021 LIVE w DDP ,DDP,53,3
JACKED Total Body 13 ,DDP,54,3
12.28.2015 LIVE w/ DDP ,DDP,54,3
01.09.2018 LIVE w/ DDP ,DDP,55,3
05.16.2017 LIVE w/ DDP ,DDP,55,3
04.18.2017 LIVE w/ DPP ,DDP,55,3
07.27.2021 LIVE w DDP ,DDP,56,3
JACKED Chest & Triceps 02 ,DDP,56,3
01.30.2018 LIVE w/ DDP ,DDP,56,3
09.21.2021 LIVE w DDP ,DDP,57,3
03.02.2021 LIVE w/ DDP ,DDP,57,3
JACKED Total Body 01 ,DDP,57,3
05.31.2022 LIVE w DDP ,DDP,58,3
11.09.2021 LIVE w DDP ,DDP,58,3
08.24.2021 LIVE w DDP ,DDP,58,3
07.24.2018 LIVE w/DDP ,DDP,58,3
Diamond Cutter (No Music) ,DDP,58,3
07.01.2016 LIVE w/ DDP ,DDP,59,3
12.14.2015 LIVE w/ DDP ,DDP,59,3
JACKED Total Body 10 ,DDP,60,3
JACKED Total Body 05 ,DDP,60,3
10.24.2016 LIVE w/ DDP ,DDP,60,3
Back & Buns 01 ,DDP,60,3
03.20.2018 LIVE w/ DDP ,DDP,61,3
01.13.2018 LIVE to FB w/ DDP ,DDP,61,3
12.22.2020 LIVE w/ DDP ,DDP,62,3
11.16.2019 LIVE to FB w/ DDP ,DDP,63,3
12.08.2016 LIVE w/ DDP ,DDP,63,3
02.15.2016 LIVE w/ DDP ,DDP,63,3
2.01.2022 LIVE w DDP ,DDP,64,3
07.06.2021 LIVE w/ DDP ,DDP,64,3
02.23.21 LIVE w/ DDP ,DDP,64,3
07.18.2016 LIVE w/ DDP ,DDP,64,3
01.29.2016 LIVE w/ DDP ,DDP,64,3
01.18.2016 LIVE w/ DDP ,DDP,64,3
12.29.2020 LIVE w/ DDP ,DDP,65,3
1.25.2022 LIVE w DDP ,DDP,66,3
1.11.2022 LIVE w DDP ,DDP,66,3
JACKED Legs 01 ,DDP,67,3
JACKED Total Body 04 ,DDP,67,3
JACKED Total Body 02 ,DDP,67,3
10.23.2018 LIVE w/ DDP ,DDP,68,3
02.29.2016 LIVE w/ DDP ,DDP,68,3
